"","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq"
"22412",12485,"31.12.2005",1,2005,4,"2005Q4","2005Q4",2130.407,9819.895,1139.834,289.429,883.358,8953.341,58.95,2558.263,12258.085,506.122,3868.077,1485.748,-2493.38,0,192.344,23.47,"BB-",4841,4841,589.4,"http://www.sec.gov/Archives/edgar/data/1053112/0001104659-06-013318.txt",1053112,"10-K","CABLEVISION SYSTEMS CORP /NY","31.12.05","02.03.06",2005,12485,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,4.231,769.292,0,"A",0
"22442",12519,"30.06.2006",1,2006,2,"2006Q2","2006Q2",14.273,22.267,4.013,1.458,0.109,0.261,0.323,9.635,9.896,0.722,2.391,8.626,12.371,0,0.009,8.93,"",3559,3559,607.8,"http://www.sec.gov/Archives/edgar/data/796577/0001116502-06-001599.txt",796577,"10-Q","QUIPP INC","30.06.06","11.08.06",2006,12519,"30.06.2006",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,0.356,0,"I",0.05
"22552",12575,"30.06.2006",1,2006,1,"2006Q2","2006Q1",6.917,17.22,2.755,20.936,0.364,1.3,-0.347,1.323,2.623,0.024,9.884,2.444,14.597,0,0.047,0.7,"",2833,2833,607.8,"http://www.sec.gov/Archives/edgar/data/768408/0001104659-07-012289.txt",768408,"10-Q","CYANOTECH CORP","30.06.06","20.02.07",2006,12575,"30.06.2006",2006,1,"INDL","USD","2006Q2","2006Q1",NA,0,0.055,0,"A",0
"22619",12589,"31.03.2007",1,2007,1,"2007Q1","2007Q1",849.2,3237.8,96.4,78.736,44,3294.5,-28.8,1247.1,4839.9,44,792.3,443.1,-1864.6,0,58.5,21.01,"B",8060,8060,615.145,"http://www.sec.gov/Archives/edgar/data/785161/0001378862-07-000028.txt",785161,"10-Q","HEALTHSOUTH CORP","31.03.07","09.05.07",2007,12589,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,6,0,"A",0
"22699",12620,"30.04.2006",1,2005,4,"2006Q1","2005Q4",23.442,44.422,4.21,5.084,2.7,2.334,-1.579,18.76,21.379,-0.858,2.619,9.909,23.043,0.285,NA,6.8,"",7373,7373,603.5,"http://www.sec.gov/Archives/edgar/data/798736/0000905729-06-000315.txt",798736,"10-K","MANATRON INC","30.04.06","24.07.06",2006,12620,"30.04.2006",2005,4,"INDL","USD","2006Q1","2005Q4",0,1.592,0.473,0.268,"I",0
"22708",12621,"30.06.2004",1,2004,2,"2004Q2","2004Q2",12.961,16.49,1.436,23.482,2.72,0.853,0.369,7.071,8.198,0.589,0.41,6.432,8.292,0,0.094,0.78,"",3640,3679,568.2,"http://www.sec.gov/Archives/edgar/data/854852/0001019687-04-001795.txt",854852,"10-Q","MICROTEL INTERNATIONAL INC","30.06.04","16.08.04",2004,12621,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,0.186,0,"I",0
"22776",12669,"31.12.2005",1,2005,4,"2005Q4","2005Q4",43.385,738.117,27.211,12.309,2.435,429.583,1.278,70.548,505.4,25.294,569.947,130.986,232.717,0,9.834,25.36,"B",7830,7830,589.4,"http://www.sec.gov/Archives/edgar/data/799088/0000950144-06-007339.txt",799088,"10-K","CARMIKE CINEMAS INC","31.12.05","04.08.06",2005,12669,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,64.796,87.559,5.21,"I",0.175
"22830",12684,"31.03.2007",1,2007,1,"2007Q1","2007Q1",8.156,17.433,0.497,8.496,2.175,0.525,-0.317,6.892,7.811,-0.083,4.844,8.354,9.622,0,NA,2.85,"",8090,8090,615.145,"http://www.sec.gov/Archives/edgar/data/801748/0001104659-07-039988.txt",801748,"10-Q","HEMACARE CORP /CA/","31.03.07","15.05.07",2007,12684,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,0.3,0,"A",0
"22853",12689,"30.11.2006",1,2006,4,"2006Q4","2006Q4",NA,9014.464,654.628,77.029,98.363,3027.44,-79.942,NA,5903.358,-150.401,62.7,3011.672,2922.748,0,74.562,51.69,"BB+",1531,1531,603.6,"http://www.sec.gov/Archives/edgar/data/795266/0000950124-07-000811.txt",795266,"10-K","KB HOME","30.11.06","13.02.07",2006,12689,"30.11.2006",2006,4,"INDL","USD","2006Q4","2006Q4",0,0,22.115,394.08,"A",0.25
"22881",12697,"30.06.2005",1,2005,2,"2005Q2","2005Q2",12.827,38.284,2.237,20.293,0.924,3.6,-0.567,13.282,17.681,-0.132,2.388,11.329,20.603,0,0.111,1.3,"",8700,8700,582.6,"http://www.sec.gov/Archives/edgar/data/801338/0001144204-05-024955.txt",801338,"10-Q","FIND SVP INC","30.06.05","12.08.05",2005,12697,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,7.288,0.24,0,"I",0
"22887",12697,"31.12.2006",1,2006,4,"2006Q4","2006Q4",13.39,40.166,2.939,20.925,2.053,2.384,-0.132,13.601,16.283,0.752,2.228,11.614,23.883,0.103,0.29,1.63,"",8700,8700,604.5,"http://www.sec.gov/Archives/edgar/data/801338/0001144204-07-019193.txt",801338,"10-K","Guideline, Inc.","31.12.06","17.04.07",2006,12697,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",0,0.9,0.774,0,"I",0
"22908",12708,"30.09.2006",1,2006,3,"2006Q3","2006Q3",89.932,269.007,23.148,53.736,159.468,3.978,-1.923,218.002,235.321,2.642,101.872,50.412,33.686,11.979,1.861,1.7,"",1382,1382,607.9,"http://www.sec.gov/Archives/edgar/data/314606/0001104659-06-075170.txt",314606,"10-Q","GEOKINETICS INC","30.09.06","14.11.06",2006,12708,"30.09.2006",2006,3,"INDL","USD","2006Q3","2006Q3",NA,112.146,3.173,0,"I",0
"23042",12734,"31.03.2007",1,2007,3,"2007Q1","2007Q3",8.398,70.435,0.346,98.326,3.386,14.235,0.313,12.785,27.252,2.332,2.298,10.348,43.183,0.098,0.684,0.77,"",7372,7370,615.145,"http://www.sec.gov/Archives/edgar/data/1166220/0001104659-07-040092.txt",1166220,"10-Q","JL HALSEY CORP","31.03.07","15.05.07",2007,12734,"31.03.2007",2007,3,"INDL","USD","2007Q1","2007Q3",NA,12.631,1.148,0,"I",0
"23129",12785,"30.09.2007",1,2007,4,"2007Q3","2007Q4",1284.334,3774.236,74.321,66.556,2.872,1318.558,37.084,905.202,2602.015,168.087,1800.155,2114.971,1172.221,326.57,29.7,34.73,"BB-",2015,2015,624.543,"http://www.sec.gov/Archives/edgar/data/802481/0000802481-07-000096.txt",802481,"10-K","PILGRIMS PRIDE CORP","29.09.07","19.11.07",2007,12785,"30.09.2007",2007,4,"INDL","USD","2007Q3","2007Q4",0,1102.069,172.323,0,"A",0.0225
"23243",12818,"30.06.2006",1,2006,4,"2006Q2","2006Q4",3.127,5.656,2.207,15.158,0.69,0.802,-2.619,1.901,2.77,-2.234,1.642,0.818,2.886,0,0.257,3.5,"",2836,2836,607.8,"http://www.sec.gov/Archives/edgar/data/728387/0001144204-06-040210.txt",728387,"10KSB","IsoRay, Inc.","30.06.06","28.09.06",2006,12818,"30.06.2006",2006,4,"INDL","USD","2006Q2","2006Q4",NA,-0.033,0.475,0,"A",0
"23395",12868,"31.07.2007",1,2007,3,"2007Q2","2007Q3",1422.293,2607.044,76.007,125.157,347.749,716.901,35.702,828.861,1647.13,NA,319.887,528.591,949.932,0,11.881,12.83,"BB-",2320,2320,623.97,"http://www.sec.gov/Archives/edgar/data/805305/0000892569-07-001194.txt",805305,"10-Q","QUIKSILVER INC","31.07.07","10.09.07",2007,12868,"31.07.2007",2007,3,"INDL","USD","2007Q2","2007Q3",NA,34.31,78.806,0,"A",0
"23418",12877,"31.12.2004",1,2005,2,"2004Q4","2005Q2",12.783,31.858,3.238,4.799,0.793,17.188,0.137,8.952,26.378,0.867,16.665,17.257,5.48,0.238,0.267,5.445,"",3730,3730,570.1,"http://www.sec.gov/Archives/edgar/data/764858/0001193125-05-029393.txt",764858,"10-Q","FOUNTAIN POWERBOAT INDUSTRIES INC","31.12.04","14.02.05",2004,12877,"31.12.2004",2005,2,"INDL","USD","2004Q4","2005Q2",NA,0,1.742,0,"I",0
"23425",12877,"30.09.2006",1,2007,1,"2006Q3","2007Q1",17.758,38.6,1.281,4.819,2.224,15.044,-0.197,14.781,29.825,0.522,17.437,19.414,8.775,0,0.239,4.24,"",3730,3730,607.9,"http://www.sec.gov/Archives/edgar/data/764858/0001144204-06-046069.txt",764858,"10-Q","FOUNTAIN POWERBOAT INDUSTRIES INC","30.09.06","09.11.06",2006,12877,"30.09.2006",2007,1,"INDL","USD","2006Q3","2007Q1",0,0,0.89,0,"I",0
"23488",12895,"31.12.2006",1,2006,4,"2006Q4","2006Q4",695.006,2458.227,9.641,34.39,32.495,1465.639,-43.93,492.051,2064.704,19.11,1023.004,681.538,393.523,88.476,35.391,19.31,"BB-",2810,2810,604.5,"http://www.sec.gov/Archives/edgar/data/805264/0001104659-07-024460.txt",805264,"10-K","GEORGIA GULF CORP /DE/","31.12.06","02.04.07",2006,12895,"31.12.2006",2006,4,"INDL","USD","2006Q4","2006Q4",NA,1075.396,90.77,1.032,"I",0.08
"23629",12964,"30.09.2004",1,2004,3,"2004Q3","2004Q3",1.809,45.601,1.49,6.613,36.006,0,-2.894,36.799,36.813,-0.624,39.128,0.012,8.788,0,2.143,12,"",4941,4941,568.7,"http://www.sec.gov/Archives/edgar/data/727273/0000727273-04-000009.txt",727273,"10-Q","CADIZ INC","30.09.04","15.11.04",2004,12964,"30.09.2004",2004,3,"INDL","USD","2004Q3","2004Q3",NA,0,0.008,0,"A",0
"23781",13034,"31.01.2007",1,2007,1,"2006Q4","2007Q1",15.04,43.082,4.328,4.333,0.267,20.447,0.256,13.835,37.025,1.258,4.455,10.259,6.057,2.37,0.676,2.75,"",NA,7373,606.348,"http://www.sec.gov/Archives/edgar/data/790272/0001021771-07-000022.txt",790272,"10QSB","NAVTECH INC","31.01.07","13.03.07",2007,13034,"31.01.2007",2007,1,"INDL","USD","2006Q4","2007Q1",NA,0,0.322,0,"I",0
"23817",13071,"30.04.2005",1,2005,2,"2005Q1","2005Q2",22.1,125.376,0.001,41.107,31.45,139.06,-0.596,55.198,195.725,8.119,74.262,35.19,-70.349,0,4.275,0.37,"",8071,8071,582.9,"http://www.sec.gov/Archives/edgar/data/790526/0001019687-05-001688.txt",790526,"10-Q","PRIMEDEX HEALTH SYSTEMS INC","30.04.05","20.06.05",2005,13071,"30.04.2005",2005,2,"INDL","USD","2005Q1","2005Q2",NA,0,1.871,0,"A",0
"23923",13163,"31.03.2007",1,2006,4,"2007Q1","2006Q4",114.065,144.896,1.288,18.07,17.698,1.537,-5.631,34.604,36.141,-11.874,4.286,35.58,108.755,0,0.163,5.58,"",2844,2844,615.145,"http://www.sec.gov/Archives/edgar/data/802356/0001116502-07-001325.txt",802356,"10-K","PARLUX FRAGRANCES INC","31.03.07","11.07.07",2007,13163,"31.03.2007",2006,4,"INDL","USD","2007Q1","2006Q4",5.96,0,4.026,4.648,"I",0
"23932",13169,"31.03.2005",1,2005,1,"2005Q1","2005Q1",109.205,160.224,37.989,5.623,2.437,5.766,-3.656,31.787,37.95,NA,28.637,24.018,122.274,0,0.537,24.49,"",3480,9995,579,"http://www.sec.gov/Archives/edgar/data/3952/0000950133-05-002142.txt",3952,"10-Q","ALLIED DEFENSE GROUP INC","31.03.05","10.05.05",2005,13169,"31.03.2005",2005,1,"INDL","USD","2005Q1","2005Q1",0,0,1.003,0,"I",0
"24039",13193,"30.09.2005",1,2005,3,"2005Q3","2005Q3",60.075,118.458,0.069,11.679,8.081,58.074,0.793,35.922,98.941,2.824,3.108,73.392,19.517,0,1.537,3.85,"",7363,7363,595.4,"http://www.sec.gov/Archives/edgar/data/786765/0001169232-07-003912.txt",786765,"10-Q","BUTLER INTERNATIONAL INC /MD/","25.09.05","15.10.07",2005,13193,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",NA,0,1.46,NA,"I",0
"24182",13289,"30.06.2006",1,2006,4,"2006Q2","2006Q4",NA,314.355,40.747,11.162,2.497,5.927,3.276,NA,120.828,5.563,41.726,10.159,193.527,0,NA,14.43,"",7377,6159,607.8,"http://www.sec.gov/Archives/edgar/data/803016/0000803016-06-000023.txt",803016,"10-K","CALIFORNIA FIRST NATIONAL BANCORP","30.06.06","15.09.06",2006,13289,"30.06.2006",2006,4,"INDL","USD","2006Q2","2006Q4",0,0,0,0,"A",0.11
"24200",13311,"31.03.2007",1,2007,1,"2007Q1","2007Q1",42.988,204.984,6.605,6.219,0.079,88.675,-6.234,31.658,136.516,1.328,3.928,14.185,68.468,4.21,2.658,4.9,"",7380,7380,615.145,"http://www.sec.gov/Archives/edgar/data/28452/0001193125-07-119784.txt",28452,"10-Q","DEVCON INTERNATIONAL CORP","31.03.07","21.05.07",2007,13311,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0.263,0.337,0,"I",0
"24254",13328,"31.01.2005",1,2004,4,"2004Q4","2004Q4",195.881,481.408,26.855,25.346,1.874,135.004,-57.35,79.984,263.909,8.342,104.13,122.574,209.328,12.216,2.027,15.19,"",3690,3690,571.2,"http://www.sec.gov/Archives/edgar/data/808064/0000808064-05-000029.txt",808064,"10-K","C&D TECHNOLOGIES INC","31.01.05","03.05.05",2005,13328,"31.01.2005",2004,4,"INDL","USD","2004Q4","2004Q4",17.03,128.429,11.865,3.023,"I",0.0138
"24394",13375,"30.06.2004",1,2004,2,"2004Q2","2004Q2",90.617,786.613,4.041,57.011,6.318,408.476,7.725,77.88,522.273,34.86,435.61,103.786,264.34,29.318,6.423,7.94,"",4813,4813,568.2,"http://www.sec.gov/Archives/edgar/data/808461/0000808461-04-000030.txt",808461,"10-Q","GENERAL COMMUNICATION INC","30.06.04","06.08.04",2004,13375,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0,64.147,0.02,"A",0
"24465",13406,"30.06.2005",1,2005,2,"2005Q2","2005Q2",162.824,353.251,7.601,39.619,0,86.5,0.193,60.119,191.153,6.412,118.304,77.658,162.098,4.226,1.238,8.85,"",2810,2810,582.6,"http://www.sec.gov/Archives/edgar/data/812701/0001193125-05-162233.txt",812701,"10-Q","CALGON CARBON CORPORATION","30.06.05","09.08.05",2005,13406,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0.856,5.476,0,"A",0.03
"24614",13443,"31.10.2004",1,2004,4,"2004Q3","2004Q4",16.072,53.556,0.141,10.013,5.06,2.82,0.265,11.607,17.252,0.664,10.727,14.819,36.304,2.541,0.096,3.59,"",3661,3661,571.9,"http://www.sec.gov/Archives/edgar/data/742550/0001206774-05-000043.txt",742550,"10-K","XETA TECHNOLOGIES INC","31.10.04","19.01.05",2004,13443,"31.10.2004",2004,4,"INDL","USD","2004Q3","2004Q4",NA,0.598,1.06,0,"I",0
"24674",13480,"30.09.2004",1,2004,3,"2004Q3","2004Q3",8.461,29.668,4.556,2.905,0.925,6.193,0.981,6.353,12.546,1.338,1.359,5.656,17.122,0,0.105,13.19,"",7372,7372,568.7,"http://www.sec.gov/Archives/edgar/data/814549/0001104659-04-036083.txt",814549,"10-Q","EBIX INC","30.09.04","15.11.04",2004,13480,"30.09.2004",2004,3,"INDL","USD","2004Q3","2004Q3",NA,7.915,0.17,0,"A",0
"24727",13505,"31.12.2006",1,2006,3,"2006Q4","2006Q3",21.855,36.559,0.883,219.265,1.072,1.72,2.081,9.457,12.553,3.749,3.351,24.852,24.006,1.376,0.114,0.59,"",5990,5990,604.5,"http://www.sec.gov/Archives/edgar/data/810829/0001193125-07-032073.txt",810829,"10-Q","DREAMS INC","31.12.06","14.02.07",2006,13505,"31.12.2006",2006,3,"INDL","USD","2006Q4","2006Q3",0,0.05,1.29,0,"I",0
"24765",13531,"30.04.2005",1,2005,1,"2005Q1","2005Q1",164.567,260.362,3.73,19.167,0,41.803,-5.057,61.118,135.641,-3.643,70.55,94.344,124.721,0,0.332,5.92,"",5940,5940,582.9,"http://www.sec.gov/Archives/edgar/data/812906/0001005794-05-000480.txt",812906,"10-Q","HANCOCK FABRICS INC","30.04.05","08.06.05",2005,13531,"30.04.2005",2005,1,"INDL","USD","2005Q1","2005Q1",8.22,0,1.573,0.109,"I",0.06
"24782",13550,"31.12.2004",1,2004,4,"2004Q4","2004Q4",7.586,58.438,0.196,7.5,2.635,2.034,-0.576,4.655,7.896,0.962,50.81,7.551,50.542,1.207,0.06,5.58,"",100,100,570.1,"http://www.sec.gov/Archives/edgar/data/792161/0001104659-05-012687.txt",792161,"10-K","ML MACADAMIA ORCHARDS L P","31.12.04","24.03.05",2004,13550,"31.12.2004",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,0.172,0,"A",0.05
"24792",13550,"30.06.2007",1,2007,2,"2007Q2","2007Q2",4.987,51.711,0.495,7.5,0.4,0.8,-0.356,1.434,3.848,-0.28,46.406,1.213,47.863,1.208,0.028,5.12,"",100,100,624.129,"http://www.sec.gov/Archives/edgar/data/792161/0001104659-07-062002.txt",792161,"10-Q","ML MACADAMIA ORCHARDS L P","30.06.07","14.08.07",2007,13550,"30.06.2007",2007,2,"INDL","USD","2007Q2","2007Q2",NA,0,0.13,0,"A",0.05
"24901",13602,"31.10.2006",1,2006,2,"2006Q3","2006Q2",NA,180.736,0.038,11.853,NA,48.934,-1.928,NA,58.705,-7.766,16.233,53.669,121.531,0,0.927,14.94,"",5500,5500,604.6,"http://www.sec.gov/Archives/edgar/data/799850/0001188112-06-003688.txt",799850,"10-Q","AMERICAS CARMART INC","31.10.06","11.12.06",2006,13602,"31.10.2006",2006,2,"INDL","USD","2006Q3","2006Q2",13.91,0.46,1.299,0.454,"A",0
"24960",13634,"30.09.2004",1,2004,2,"2004Q3","2004Q2",1162.44,2705.1,29.113,24.101,18.646,550.343,-17.101,687.36,1783.318,19.659,807.957,637.599,909.352,111.733,11.984,15.85,"BB-",3690,3690,568.7,"http://www.sec.gov/Archives/edgar/data/813781/0001193125-04-197324.txt",813781,"10-Q","EXIDE TECHNOLOGIES","20.09.04","15.11.04",2004,13634,"30.09.2004",2004,2,"INDL","USD","2004Q3","2004Q2",NA,0,33.17,0,"I",0
"25030",13680,"30.09.2006",1,2006,3,"2006Q3","2006Q3",111.729,237.978,0.047,8.256,131.632,77.55,-1.754,169.083,258.684,6.055,68.195,108.261,-20.706,10.877,5.083,6.75,"B-",3081,3081,607.9,"http://www.sec.gov/Archives/edgar/data/811828/0000950153-06-002833.txt",811828,"10-Q","ATLANTIS PLASTICS INC","30.09.06","14.11.06",2006,13680,"30.09.2006",2006,3,"INDL","USD","2006Q3","2006Q3",NA,0,8.194,0,"I",0
"25111",13712,"31.12.2005",1,2005,4,"2005Q4","2005Q4",810.808,1554.13,6.822,31.225,20.813,631.024,-5.179,357.034,1160.361,58.432,537.797,625.467,393.769,51.837,11.833,32.24,"BB-",3341,3350,589.4,"http://www.sec.gov/Archives/edgar/data/202890/0001193125-06-055228.txt",202890,"10-K","Aleris International, Inc.","31.12.05","16.03.06",2005,13712,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",23.79,317.696,62.115,0,"A",0
"25206",13765,"31.12.2005",1,2006,2,"2005Q4","2006Q2",25.752,53.086,2.235,6.568,1.72,5.523,0.461,13.451,22.231,1.609,15.885,19.945,30.855,1.737,0.083,6.48,"",2834,2834,589.4,"http://www.sec.gov/Archives/edgar/data/787253/0001193125-06-031291.txt",787253,"10-Q","NATURAL ALTERNATIVES INTERNATIONAL INC","31.12.05","14.02.06",2005,13765,"31.12.2005",2006,2,"INDL","USD","2005Q4","2006Q2",NA,5.617,0.716,0,"A",0
"25252",13789,"31.03.2005",1,2005,1,"2005Q1","2005Q1",84.841,197.517,2.761,11.016,8.167,71.159,-0.468,36.689,124.789,4.382,96.259,58.397,72.728,8.481,1.893,7.97,"",4522,4522,579,"http://www.sec.gov/Archives/edgar/data/816159/0001015402-05-002329.txt",816159,"10-Q","AIR METHODS CORP","31.03.05","10.05.05",2005,13789,"31.03.2005",2005,1,"INDL","USD","2005Q1","2005Q1",NA,0,2.761,NA,"I",0
"25376",13839,"31.12.2005",1,2005,4,"2005Q4","2005Q4",229.526,612.472,45.932,26.675,1.514,186.819,-121.58,92.146,369.221,14.871,229.41,121.833,243.251,28.543,2.533,18.77,"",2833,2833,589.4,"http://www.sec.gov/Archives/edgar/data/820081/0000950123-06-007060.txt",820081,"10-K","CAMBREX CORP","31.12.05","26.05.06",2005,13839,"31.12.2005",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0.814,40.307,0.075,"A",0.03
"25386",13842,"30.04.2004",1,2004,1,"2004Q1","2004Q1",56.768,74.228,5.487,17.796,3.051,0.083,-12.351,41.368,111.51,-1.417,16.094,80.326,-37.282,0,0.375,1.22,"",NA,5651,563.2,"http://www.sec.gov/Archives/edgar/data/813775/0000813775-04-000022.txt",813775,"10-Q","FACTORY 2 U STORES INC","01.05.04","10.06.04",2004,13842,"30.04.2004",2004,1,"INDL","USD","2004Q1","2004Q1",NA,0,0.051,0,"I",0
"25404",13853,"30.06.2004",1,2004,2,"2004Q2","2004Q2",44.39,534.937,12.324,33.323,21.303,701.03,-4.314,563.245,1998.588,30.323,388.219,265.473,-1463.651,0.774,16.624,5,"B+",7990,7990,568.2,"http://www.sec.gov/Archives/edgar/data/770944/0000950137-05-014374.txt",770944,"10-Q","BALLY TOTAL FITNESS HOLDING CORP","30.06.04","30.11.05",2004,13853,"30.06.2004",2004,2,"INDL","USD","2004Q2","2004Q2",NA,0.109,26.918,0,"I",0
"25589",13990,"31.03.2006",1,2006,1,"2006Q1","2006Q1",855.681,1585.76,63.153,46.257,43.129,388.2,18.192,393.661,937.034,NA,130.337,453.182,648.726,99.574,8.381,24,"BB-",2300,2300,598.6,"http://www.sec.gov/Archives/edgar/data/801351/0000950136-06-003713.txt",801351,"10-Q","WARNACO GROUP INC /DE/","01.04.06","11.05.06",2006,13990,"31.03.2006",2006,1,"INDL","USD","2006Q1","2006Q1",23.96,203.364,8.633,1.145,"I",0
"25756",14150,"30.09.2005",1,2005,2,"2005Q3","2005Q2",54.433,87.816,2.752,21.252,14.563,0,-0.613,48.248,48.248,0.251,6.135,23.737,39.568,0,0.182,4.19,"",7819,7819,595.4,"http://www.sec.gov/Archives/edgar/data/216324/0001104659-05-054687.txt",216324,"10-Q","IMAGE ENTERTAINMENT INC","30.09.05","10.11.05",2005,14150,"30.09.2005",2005,2,"INDL","USD","2005Q3","2005Q2",NA,8.241,0.724,0,"I",0
"25764",14150,"31.12.2007",1,2007,3,"2007Q4","2007Q3",56.14,93.561,1.317,21.74,6.958,20.202,-2.052,49.671,71.874,0.105,3.379,27.343,21.687,0,0.901,3.67,"",7819,7819,629.174,"http://www.sec.gov/Archives/edgar/data/216324/0001362310-08-000980.txt",216324,"10-Q","IMAGE ENTERTAINMENT INC","31.12.07","14.02.08",2007,14150,"31.12.2007",2007,3,"INDL","USD","2007Q4","2007Q3",NA,0,0.427,0,"I",0
"25939",14252,"31.08.2005",1,2005,4,"2005Q3","2005Q4",7.604,12.802,1.107,12.579,0,0,-5.291,4.877,4.877,-0.317,2.521,4.906,7.925,0,0.013,1.26,"",3663,3663,588.2,"http://www.sec.gov/Archives/edgar/data/715073/0001144204-05-038474.txt",715073,"10-K","WEGENER CORP","02.09.05","01.12.05",2005,14252,"31.08.2005",2005,4,"INDL","USD","2005Q3","2005Q4",NA,0,0.355,0,"A",0
"26155",14369,"30.09.2005",1,2005,3,"2005Q3","2005Q3",471.07,5243.627,31.069,87.055,0,1161.127,23.672,489.207,2488.829,191.568,2421.407,795.1,2708.391,657.452,21.122,53.42,"A-",4812,4812,595.4,"http://www.sec.gov/Archives/edgar/data/821130/0001104659-06-027802.txt",821130,"10-Q","UNITED STATES CELLULAR CORP","30.09.05","26.04.06",2005,14369,"30.09.2005",2005,3,"INDL","USD","2005Q3","2005Q3",0,125.609,384.844,0,"A",0
"26267",14395,"30.09.2007",1,2007,3,"2007Q3","2007Q3",3.735,7.537,2.061,15.153,1.785,0,-0.624,4.793,5.122,-0.639,2.431,1.798,2.415,0,0.175,1.39,"",3841,3841,624.543,"http://www.sec.gov/Archives/edgar/data/810084/0001104659-07-083203.txt",810084,"10-Q","BIOJECT MEDICAL TECHNOLOGIES INC","30.09.07","14.11.07",2007,14395,"30.09.2007",2007,3,"INDL","USD","2007Q3","2007Q3",NA,0,0.102,NA,"I",0
"26334",14450,"30.06.2005",1,2005,2,"2005Q2","2005Q2",281.239,568.893,13.988,15.052,0.948,235.728,-5.682,84.323,369.374,0.933,190.557,196.321,199.519,0,5.431,5.87,"B",3350,3350,582.6,"http://www.sec.gov/Archives/edgar/data/821407/0000950144-05-008699.txt",821407,"10-Q","WOLVERINE TUBE INC","03.07.05","12.08.05",2005,14450,"30.06.2005",2005,2,"INDL","USD","2005Q2","2005Q2",NA,0,5.494,0,"I",0
"26341",14450,"31.03.2007",1,2007,1,"2007Q1","2007Q1",291.66,526.872,26.913,15.176,0.589,236.412,-6.036,132.942,432.979,5.391,131.338,221.374,93.893,0,5.499,2.32,"CC",3350,3350,615.145,"http://www.sec.gov/Archives/edgar/data/821407/0001193125-07-136817.txt",821407,"10-Q","WOLVERINE TUBE INC","01.04.07","15.06.07",2007,14450,"31.03.2007",2007,1,"INDL","USD","2007Q1","2007Q1",NA,0,0.986,0,"I",0
"26361",14457,"30.09.2004",1,2004,4,"2004Q3","2004Q4",80.65,134.944,3.169,4.421,9.469,25.711,-6.099,53.634,90.256,2.799,15.438,51.644,43.549,0,1.139,9.05,"",3640,3640,568.7,"http://www.sec.gov/Archives/edgar/data/822665/0001193125-05-005980.txt",822665,"10-K","CATALINA LIGHTING INC","30.09.04","13.01.05",2004,14457,"30.09.2004",2004,4,"INDL","USD","2004Q3","2004Q4",NA,0,2.505,0,"I",0
"26438",14489,"31.07.2006",1,2006,2,"2006Q2","2006Q2",17583,23302,8126,2238,55,600,480,17043,20241,663,2150,14211,3040,0,NA,21.68,"A",3571,3571,609.6,"http://www.sec.gov/Archives/edgar/data/826083/0000950134-07-022265.txt",826083,"10-Q","DELL INC","04.08.06","30.10.07",2006,14489,"31.07.2006",2006,2,"INDL","USD","2006Q2","2006Q2",23.21,97,386,2691,"A",0
"26449",14490,"31.03.2005",1,2005,3,"2005Q1","2005Q3",77.924,106.923,41.008,10.111,0.271,50.374,0.788,11.192,61.566,NA,1.347,27.018,45.357,0,0.898,11.05,"",5961,5961,579,"http://www.sec.gov/Archives/edgar/data/828747/0000950134-05-010258.txt",828747,"10QSB","COLLEGIATE PACIFIC INC","31.03.05","16.05.05",2005,14490,"31.03.2005",2005,3,"INDL","USD","2005Q1","2005Q3",NA,6.727,0.417,0,"I",0.025
"26514",14549,"28.02.2006",1,2006,2,"2006Q1","2006Q2",7.485,11.909,0.26,2.194,7.948,0.924,-0.26,10.608,11.532,0.069,3.009,5.127,0.377,0,0.218,1.1,"",2820,2820,595.2,"http://www.sec.gov/Archives/edgar/data/109870/0000950144-06-003844.txt",109870,"10QSB","GLASSMASTER CO","05.03.06","25.04.06",2006,14549,"28.02.2006",2006,2,"INDL","USD","2006Q1","2006Q2",NA,0,0.217,0,"I",0
